ID;FullName;global_id;ShortName;RegisterNumber;LegalAddress;country;city;street;house;ChiefPosition;ChiefName;WebSite;Email;INN;OGRN
24;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПРОВЕДЕНИЯ СПОРТИВНЫХ МЕРОПРИЯТИЙ «МОСКОВСКИЙ МАРАФОН»;63809244;АНО ЦПСМ «Московский марафон»;259006;улица Лужники, дом 24, корпус 9;Россия;Москва;улица Лужники;дом 24, корпус 9;директор;Зубко Анатолий Борисович;;;7704281590;1,1378E+12
25;Автономная некоммерческая спортивно-образовательная организация РОСТО «Московский городской автомотоклуб»;63809245;АНСОО РОСТО «Московский городской автомотоклуб»;259483;Мясницкая улица, дом 21/8, корпус 7;Россия;Москва;Мясницкая улица;дом 21/8, корпус 7;начальник;Твердошинский Анатолий Георгиевич;;;7708098620;1,03774E+12
26;АППАРАТ ГОСУДАРСТВЕННОЙ ДУМЫ ФЕДЕРАЛЬНОГО СОБРАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;63809246;Аппарат Государственной думы Федерального собрания Российской Федерации;259662;улица Охотный Ряд, дом 1;Россия;Москва;улица Охотный Ряд;дом 1;первый заместитель руководителя аппарата;Копейкин Михаил Юрьевич;;;7707210781;1,0377E+12
27;АССОЦИАЦИЯ ОРГАНИЗАТОРОВ КУЛЬТУРНО-МАССОВЫХ И СПОРТИВНО-ЗРЕЛИЩНЫХ МЕРОПРИЯТИЙ «НОВАЯ ЛИГА»;63809247;Ассоциация «Новая Лига»;219735;Смоленская улица, дом 7;Россия;Москва;Смоленская улица;дом 7;президент;Селяметова Екатерина Викторовна;;;7704278862;1,1178E+12
28;Ассоциация общероссийских общественных организаций «Ассоциация лыжных видов спорта России»;63809248;Ассоциация общероссийских общественных организаций «Ассоциация лыжных видов спорта России»;261895;Лужнецкая набережная, дом 8;Россия;Москва;Лужнецкая набережная;дом 8;президент;Бокарев Андрей Рэмович;;;7704271271;1,0577E+12
29;Ассоциация спортивных клубов по художественной гимнастике;63809249;Ассоциация спортивных клубов по художественной гимнастике;259339;Лужнецкая набережная, дом 8;Россия;Москва;Лужнецкая набережная;дом 8;президент;Шматко Елена Николаевна;;;7704278929;1,1178E+12
30;Благотворительный оздоровительный фонд «Клуб «Приключение»;63809250;Благотворительный оздоровительный фонд «Клуб «Приключение»;259010;улица Чаплыгина, дом 15, корпус 5;Россия;Москва;улица Чаплыгина;дом 15, корпус 5;директор;Шпаро Дмитрий Игоревич;;;7702054137;1,02774E+12
31;Благотворительный Фонд социальной поддержки граждан «Планета Добра»;63809251;Благотворительный Фонд социальной поддержки граждан «Планета Добра»;259034;Большая Филёвская улица, дом 63;Россия;Москва;Большая Филёвская улица;дом 63;генеральный директор;Новиков Владимир Анатольевич;;;7731022718;1,1078E+12
32;Общероссийская общественная организация инвалидов «Всероссийское общество глухих»;63809252;Всероссийское общество глухих (ВОГ);220245;улица 1905 года, дом 10А;Россия;Москва;улица 1905 года;дом 10А;президент;Рухледев Валерий Никитич;;;7703027707;1,02774E+12
33;ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА «МОСКОВСКИЙ ЦЕНТР БОЕВЫХ ИСКУССТВ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809253;ГАУ «Спортивная школа «МЦБИ» Москомспорта;219106;Варшавское шоссе, дом 118, корпус 1;Россия;Москва;Варшавское шоссе;дом 118, корпус 1;директор;Тимофеев Игорь Николаевич;mcbi.ru;timofeev@mcbi.ru;7726633285;1,09775E+12
34;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР СПОРТА И ОБРАЗОВАНИЯ «МОСКОВСКАЯ ЭКСПЕРИМЕНТАЛЬНАЯ ШКОЛА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809254;ГБОУ «Центр спорта и образования «МЭШ» Москомспорта;219108;Херсонская улица, дом 30, корпус 2;Россия;Москва;Херсонская улица;дом 30, корпус 2;директор;Куприянова Татьяна Викторовна;www.wushu-school.ru;mesh@mossport.ru;7727038056;1,02774E+12
35;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР СПОРТА И ОБРАЗОВАНИЯ «ОЛИМП» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809255;ГБОУ «Центр спорта и образования «Олимп» Москомспорта;219109;улица Удальцова, дом 67;Россия;Москва;улица Удальцова;дом 67;директор;Енюшин Виталий Юрьевич;www.olimp-co.ru;Olimp_CO@list.ru;7729193258;1,03774E+12
36;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР СПОРТА И ОБРАЗОВАНИЯ «ЧЕРТАНОВО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809256;ГБОУ «Центр спорта и образования «Чертаново» Москомспорта;207054;Чертановская улица, дом 7, корпус 3;Россия;Москва;Чертановская улица;дом 7, корпус 3;директор;Ларин Николай Юрьевич;www.chertanovo-football.ru;chertanovo@mossport.ru;7726072209;1,02774E+12
37;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ «ЦЕНТР ВОЕННО-ПАТРИОТИЧЕСКОГО И ГРАЖДАНСКОГО ВОСПИТАНИЯ»;63809257;ГБОУ г. Москвы центр военно-патриотического и гражданского воспитания;254891;улица Щепкина, дом 38, корпус 1;Россия;Москва;улица Щепкина;дом 38, корпус 1;директор;Мельниченко Игорь Иннокентьевич;;;7719210793;1,0377E+12
38;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «КОЛЛЕДЖ ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА «СПАРТА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809258;ГБПОУ «КФКС «Спарта» Москомспорта;207053;улица Маршала Тимошенко, дом 36, корпус 2;Россия;Москва;улица Маршала Тимошенко;дом 36, корпус 2;директор;Глушков Алексей Юрьевич;www.спарта-кфкс.рф;sparta@mossport.ru;7731034752;1,03774E+12
39;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «МОСКОВСКОЕ СРЕДНЕЕ СПЕЦИАЛЬНОЕ УЧИЛИЩЕ ОЛИМПИЙСКОГО РЕЗЕРВА № 1 (ТЕХНИКУМ)» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809259;ГБПОУ «МССУОР № 1» Москомспорта;207044;16-я Парковая улица, дом 17, строение 2;Россия;Москва;16-я Парковая улица;дом 17, строение 2;директор;Мусульбес Давид Владимирович;;;7719004945;1,03772E+12
40;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «МОСКОВСКОЕ СРЕДНЕЕ СПЕЦИАЛЬНОЕ УЧИЛИЩЕ ОЛИМПИЙСКОГО РЕЗЕРВА № 2 (КОЛЛЕДЖ)» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809260;ГБПОУ «МССУОР № 2» Москомспорта;207045;Малая Филёвская улица, дом 34, корпус 2;Россия;Москва;Малая Филёвская улица;дом 34, корпус 2;директор;Захаров Андрей Анатольевич;www.uor2.ru;uor2@mos.ru;7731136698;1,03774E+12
41;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «МОСКОВСКОЕ СРЕДНЕЕ СПЕЦИАЛЬНОЕ УЧИЛИЩЕ ОЛИМПИЙСКОГО РЕЗЕРВА № 3 (ТЕХНИКУМ)» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809261;ГБПОУ «МССУОР № 3» Москомспорта;207046;Ткацкая улица, дом 27;Россия;Москва;Ткацкая улица;дом 27;директор;Азнавурян Карина Борисовна;uor3.ru;uor3@mossport.ru;7719064084;1,02774E+12
42;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «МОСКОВСКОЕ СРЕДНЕЕ СПЕЦИАЛЬНОЕ УЧИЛИЩЕ ОЛИМПИЙСКОГО РЕЗЕРВА № 4 ИМЕНИ А.Я. ГОМЕЛЬСКОГО (ТЕХНИКУМ)» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809262;ГБПОУ «МССУОР № 4 им. А. Я. Гомельского» Москомспорта;212210;улица Лескова, дом 25А;Россия;Москва;улица Лескова;дом 25А;директор;Жмулин Александр Владимирович;www.uorgomelski.ru;uor4@mossport.ru;7715714937;5,08775E+12
43;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «МОСКОВСКОЕ ГОРОДСКОЕ ФИЗКУЛЬТУРНО-СПОРТИВНОЕ ОБЪЕДИНЕНИЕ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809263;ГБУ «МГФСО» Москомспорта;853;3-я Фрунзенская улица, дом 5;Россия;Москва;3-я Фрунзенская улица;дом 5;генеральный директор;Балачинский Сурен Романович;mgfso.ru;mgfso@mossport.ru;7709138322;1,0277E+12
44;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТКЛУБ «ВЫМПЕЛ» ИМЕНИ О.П.МАКАРОВА;63809264;ГБУ «СК «Вымпел» им. О.П. Макарова Левобережного р-на г. Москвы;219930;Ленинградское шоссе, дом 98, корпус 1;Россия;Москва;Ленинградское шоссе;дом 98, корпус 1;директор;Якунина Галина Александровна;;;7743623600;1,06776E+12
45;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА «БОРЕЦ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809265;ГБУ «Спортивная школа «Борец» Москомспорта;207038;Боровское шоссе, дом 37, корпус 1;Россия;Москва;Боровское шоссе;дом 37, корпус 1;директор;Куринной Игорь Игоревич;borec.ru;s96@mossport.ru;7732004599;1,02774E+12
46;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА «КОСИНО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809266;ГБУ «Спортивная школа «Косино» Москомспорта;219113;улица Николая Старостина, дом 8, корпус А;Россия;Москва;улица Николая Старостина;дом 8, корпус А;директор;Калинкин Александр Степанович;kosino.mossport.ru;baskosino@gmail.com;7720270236;1,02772E+12
47;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА «РУССКАЯ ГОРНОЛЫЖНАЯ ШКОЛА - СТОЛИЦА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809267;ГБУ «Спортивная школа «Русская горнолыжная школа - Столица» Москомспорта;219114;Милютинский переулок, дом 18, корпус 4;Россия;Москва;Милютинский переулок;дом 18, корпус 4;директор;Цеханович Василий Михайлович;www.rass-s.ru;stolitsa@mossport.ru;7708183178;1,0377E+12
48;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА «ЭНТУЗИАСТ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809268;ГБУ «Спортивная школа «Энтузиаст» Москомспорта;219127;Вешняковская улица, дом 16А;Россия;Москва;Вешняковская улица;дом 16А;директор;Карпяк Павел Владимирович;дюсш-энтузиаст.рф;entuziast@mossport.ru;7720525212;1,05775E+12
49;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 10» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809269;ГБУ «Спортивная школа № 10» Москомспорта;205216;город Зеленоград, Озёрная аллея, дом 4;Россия;Москва;город Зеленоград;Озёрная аллея, дом 4;директор;Горовцов Игорь Анатольевич;;Zel-orbita@mail.ru;7735093029;1,02774E+12
50;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 101 «ТУШИНО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809270;ГБУ «Спортивная школа № 101 «Тушино» Москомспорта;219107;Сходненская улица, дом 15;Россия;Москва;Сходненская улица;дом 15;директор;Казадой Сергей Михайлович;www.sportschool101.ru;s101@mossport.ru;7733048623;1,03774E+12
51;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 102» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809271;ГБУ «Спортивная школа № 102» Москомспорта;219116;улица Маршала Василевского, дом 1, корпус 1;Россия;Москва;улица Маршала Василевского;дом 1, корпус 1;директор;Рогачева Оксана Алексеевна;сш102.рф;sdushor102@mail.ru;7734092992;1,03774E+12
52;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 103 «ЮЖНОЕ ТУШИНО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809272;ГБУ «Спортивная школа № 103 «Южное Тушино» Москомспорта;219126;улица Василия Петушкова, дом 10;Россия;Москва;улица Василия Петушкова;дом 10;директор;Брызгалин Алексей Алексеевич;www.rugby-tushino.ru;s103@mossport.ru;7733153226;1,03773E+12
53;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 104 «ЖЕМЧУЖИНА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809273;ГБУ «Спортивная школа № 104 «Жемчужина» Москомспорта;219117;улица Генерала Белобородова, дом 29;Россия;Москва;улица Генерала Белобородова;дом 29;директор;Лушников Евгений Владимирович;sportschool-104.ru;s104@mossport.ru;7733150761;1,02773E+12
54;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 112 «СПУТНИК» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809274;ГБУ «Спортивная школа № 112 «Спутник» Москомспорта;219118;город Зеленоград, корпус 907;Россия;Москва;город Зеленоград;корпус 907;директор;Кулин Николай Александрович;www.sputnik112.ru;s112@mossport.ru;7735053241;1,0277E+12
55;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 114 «РЕКОРД» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809275;ГБУ «Спортивная школа № 114 «Рекорд» Москомспорта;219119;город Зеленоград, корпус 1613;Россия;Москва;город Зеленоград;корпус 1613;директор;Таравиков Алексей Иванович;www.dush114.ru;dush114@mail.ru;7735513386;1,05775E+12
56;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА № 2» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809276;ГБУ «Спортивная школа № 2» Москомспорта;205213;Заповедная улица, дом 1;Россия;Москва;Заповедная улица;дом 1;генеральный директор;Иванов Олег Александрович;skmedvedkovo.ru;rabotalap@yandex.ru;7715196837;1,03774E+12
